,Unnamed: 0,Extraction_date,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
1057,2092,2018-07-16T12:35:52,2338948,Appartement,Un joli s3 meublé à ain zaghouan nord,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan",1,m²,4.0,,2000.0,"la croisette:agence immobilière à la marsa vous propose  al1641  a louer un joli appartement meublé à ain zaghouan nord composé d?un salon , salle à manger avec balcon , une cuisine équipée avec séchoir , une salle d?eau , une salle de bain , une suite parentale et 2 chambres à coucher dont une avec dressing .    l?appartement est équipé de chauffage central et climatisation .  aussi il dispose d?une place de parking sous sol .",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2338948
1058,2093,2018-07-16T12:35:51,2588310,Appartement,Joli studio vue port,"Tunisie,Sousse,Hammam Sousse,El Kantaoui",42,m²,1.0,,700.0,situé au 2ème étage de la phase 1 du port el kantaoui  joli studio   bien entretenu mis à la location de longue durée   studio donnant directement sur le port  comprenant côté salon  côté grand lit salle de bain kitchenette  terrasse  prix demandé   700 dt par mois payement trimestriel  infos et visite s'adresser à l'immobilière du lac à h sousse   au 00 216 73 370 942 où 00 216 99 904 113 et 00 216 52 942 113,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2588310
1060,2097,2018-07-16T12:35:44,2831914,Appartement,Appart 2piece de superficie 110m2,"Tunisie,Tunis,La Marsa,El Aouina",110,m²,2.0,,680.0,"à louer appartement s2    emplacement : l'aouina    superficie : 110m².  typologie : s2    composition :    salon avec balcon    cuisine équipée .     2 chambre à coucher    salle de bain.    prix :680milles dinars    pour plus d'informations, veuillez contacter le 21 330 725",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831914
1075,2154,2018-07-16T12:32:38,2826927,Appartement,S2 à coté de totos,"Tunisie,Ben arous,Ezzahra,Ezzahra",100,m²,2.0,,600.0,"un appartements s+2 avec . places parking    je vous propose une opportunité à ezzahra pres de le voilet et totos  un appartements   dans une résidence  un  joli appartement situé  pres de tout commodité  au rdc dans une résidence calme et chic entrée parking sécurisée  et controlé par des camera se surveillance superficie de l'appartement 100m   l'appartement se compose un tres grand salon , salle d'eau , salle de bain 2 grand chambre à couchée avec des dressing avec un décor exceptionnel et cuisine aménagée   prix demandé  650/ mois   les frais de syndic inclus   une place parking est disponible avec l'appartement  l'appartement est équipée par un climatiseur et un chauffage centrale   pour plus d'information contactez    28.058.317  svp les appel téléphonique seulement du 9h du matin à 19h pas des appels hors ce temps",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2826927
1076,2156,2018-07-16T12:32:33,2807963,Appartement,Petit joli studio,"Tunisie,Monastir,Monastir,Monastir",40,m²,1.0,,350.0,"studio bien équipe situé près patisserie la fiesta a louer pour couple ou jeune fille ,pour une semaine 350 dt pendant la periode du 1/07/au 30/08.pour la periode scolaire du 1/09/au 30/06 le prix a 350d/mois toutes les factures payées",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2807963
1081,2196,2018-07-16T12:29:31,2830872,Maison,Villa s4 à cité el khalil,"Tunisie,Tunis,La Marsa,Cite El Khalil",500,m²,,,2500.0,"#immoland    emplacement : cité el khalil la marsa.    superficie du terrain : 500 m²    superficie bâtit : 300 m²    typologie : s+4    composition : 2 niveaux :    **rez de chaussée :    salon.    séjour.    cuisine équipée de hotte, plaque et four.    salle d'eau invitée.    **etage :    trois chambres à coucher avec dressing.    salle de bain.    suite parentale avec terrasse.    chauffage central    climatisation : split-système    jardin.    garage.    prix : 2500 dinars /mois    les visites sont gratuites.    #réf : ma 07/17    pour plus d'informations, veuillez contacter le 28148988.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2830872
1092,2245,2018-07-16T12:26:22,2830867,Maison,Duplex s3 à cité el khalil,"Tunisie,Tunis,La Marsa,Cite El Khalil",190,m²,,,1500.0,"#immoland    emplacement : cité el khalil, la marsa    etat : vide.    typologie : s+3    composition : 2 niveaux    ** rez de chaussée :    salon    cuisine équipée de hotte et plaque.    salle à manger.    salle d'eau invités.    **etage :    trois chambres à coucher dont une avec dressing.    salle de bain.    chauffage central.    climatisation : split-système.    terrasse.    entrée indépendante.    prix : 1 500 dinars / mois    les visites sont gratuites.    #réf : ma 90/18    pour plus d'informations, veuillez contacter le 28 148 988.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2830867
1093,2247,2018-07-16T12:26:18,2308340,Appartement,Un rdc de villa au bord de la mer al1493,"Tunisie,Tunis,La Marsa,Marsa Safsaf",1,m²,4.0,,1600.0,"la croisette agence immobilière vous propose:  ref: al1493  a louer un rez-de-chaussée d'une villa à la marsa au bord de la mer composé d'un salon, trois chambres à coucher dont deux avec des placards, une salle de bain et une cuisine.  aussi il dispose d'un véranda et un petit jardin.  le rez-de-chaussée est équipée de chauffage central.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2308340
1094,2249,2018-07-16T12:26:11,2813704,Appartement,Etage de villa s3 réf ble112,"Tunisie,Nabeul,Hammamet,Cite Afh",130,m²,4.0,,140.0,"réf ble112    notre agence met a votre disposition un charmant etage de villa s+3 à louer pour la saison estival de 130m² richement meubler et equipé situé a afh mrezga.     il est composé, dans sa partie jour, d'un lumineux salon, une belle terrase, une cuisine bien équipée et une salle à manger .    la partie nuit se compose de 3 chambres à coucher avec placard et une salle de bain.    » équipements  climatisation  dressing    prix : 140dt la nuit   le prix est négociable selon la durée du séjour    pour plus d'informations veuillez contacter notre agence  contact : 21174968 - 72287177",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2813704
1095,2284,2018-07-16T12:23:05,2829439,Appartement,Appart s2 réf ble141,"Tunisie,Nabeul,Hammamet,Cite Afh",105,m²,3.0,,160.0,"réf ble141    notre agence met a votre disposition un appartement s+2 à louer situé dans une résidence calme et avec piscine à afh mrezga.     l'entrée donne sur un salon meublé qui donne sur une terrasse.   il ya aussi deux chambres à coucher, une cuisine bien équipée et dispose de toute la vaisselle nécessaire et une salle de bain.   il est proposé pour la location estival .  il n'est pas disponible pendant la période entre (21 juil au 5 août) et (9 août au 18 août)    » équipements  climatisation  dressing    prix : 160dt la nuit  le prix est négociable selon la durée du séjour    pour plus d'informations veuillez contacter notre agence  contact : 21174968 - 72287177",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2829439
