Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address
Banlieue Nord,950.0,75.0,Tunisie-annonce TN,2824996,12.666666666666666,"Tunisie,Tunis,Ain Zaghouan,Jardins de Carthage"
Ariana,650.0,110.0,Tunisie-annonce TN,2832057,5.909090909090909,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah"
Tunis,1200.0,200.0,Tunisie-annonce TN,2771316,6.0,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Banlieue Nord,950.0,120.0,Tunisie-annonce TN,2832056,7.916666666666667,"Tunisie,Tunis,La Marsa,El Aouina"
Nabeul,130.0,69.0,Tunisie-annonce TN,2820239,1.8840579710144927,"Tunisie,Nabeul,Hammamet,Cite Afh"
Sfax,580.0,10546.0,Tunisie-annonce TN,2802235,0.05499715531955244,"Tunisie,Sfax,Sfax Ville,Sfax"
Banlieue Nord,1500.0,120.0,Tunisie-annonce TN,2830988,12.5,"Tunisie,Tunis,Carthage,Amilcar"
Ben arous,500.0,150.0,Tunisie-annonce TN,2832053,3.3333333333333335,"Tunisie,Ben arous,El Mourouj,El Mourouj"
Banlieue Nord,1200.0,90.0,Tunisie-annonce TN,2815849,13.333333333333334,"Tunisie,Tunis,La Marsa,Berge Du Lac"
Banlieue Nord,3400.0,180.0,Tunisie-annonce TN,2832060,18.88888888888889,"Tunisie,Tunis,La Marsa,Berge Du Lac"
